col_index,col_index_det,col_people,col_people_rating,col_people_link
195,1,MissGnomer,1232,https://www.vivino.com/users/dorothyg
195,2,Hood,283,https://www.vivino.com/users/hoodh
196,0,Silvain Pastoris,1182,https://www.vivino.com/users/silvainp
196,1,Antonio Azevedo,1905,https://www.vivino.com/users/antonio-aze
196,2,Jeferson Delpoio,1298,https://www.vivino.com/users/jefersond
197,0,Terry Richardson,280,https://www.vivino.com/users/terry.richar
197,1,Chris England,2508,https://www.vivino.com/users/chrisengland
197,2,A Stull,563,https://www.vivino.com/users/m020a0e951bfd4eb37c846676de5a653
198,0,Mats_kl,2371,https://www.vivino.com/users/mats-kl
198,1,Johan P.,1675,https://www.vivino.com/users/johan.po
198,2,Hamza B,247,https://www.vivino.com/users/hamzab
199,0,'rj',2167,https://www.vivino.com/users/richard_joy
199,1,Laci champagne,4115,https://www.vivino.com/users/ladislauk
199,2,Alyson Badami,115,https://www.vivino.com/users/alyson.bad
200,0,Francisco Lopez,454,https://www.vivino.com/users/franciscolopez16
200,1,mk,2003,https://www.vivino.com/users/s.mk
200,2,Guille Irsermo,2566,https://www.vivino.com/users/guille-i
201,0,David O,2308,https://www.vivino.com/users/david_ow
201,1,Hans G. Bergmann,1715,https://www.vivino.com/users/hans.bergmann
201,2,Jack Madrid,3857,https://www.vivino.com/users/jack-mad
202,0,TysRez,1178,https://www.vivino.com/users/tysr
202,1,Michal Šetka,2997,https://www.vivino.com/users/michal.setka
202,2,Ptit LU E.,1972,https://www.vivino.com/users/ptit-lue
203,0,Evan Wiens,981,https://www.vivino.com/users/evanwiens
203,1,Vincent B,1287,https://www.vivino.com/users/vincent.boun
203,2,Urban Eriksson,4545,https://www.vivino.com/users/urban.er
204,0,Bruno Lugani,553,https://www.vivino.com/users/bruno_lug
204,1,Chris England,2508,https://www.vivino.com/users/chrisengland
204,2,Danny Dresselaerts,791,https://www.vivino.com/users/dannyd
205,0,Adrian Nyffeler,10436,https://www.vivino.com/users/adrian_nuf
205,1,Antonio Palmarini,2189,https://www.vivino.com/users/antonio-pf
