col_index,col_winery,col_wine,col_figure,col_rating,col_ratingC,col_location_country,col_location_region,col_url,col_year
500,Salentein,Primus Malbec 2013,NA,4.4,741,France,Saint-Julien,https://www.vivino.com/salentein-primus-malbec/w/9998?year=2013&price_id=17734317,2013
501,Banfi,Poggio all'Oro Brunello di Montalcino Riserva 2007,NA,4.4,733,Italy,Brunello di Montalcino,https://www.vivino.com/banfi-poggio-all-oro-brunello-di-montalcino-riserva/w/1165001?year=2007&price_id=14599182,2007
502,Stag's Leap Wine Cellars,CASK 23 Cabernet Sauvignon 2010,NA,4.4,732,United States,Napa Valley,https://www.vivino.com/stag-s-leap-wine-cellars-cask-23-cabernet-sauvignon/w/2653222?year=2010&price_id=16759964,2010
503,Achaval-Ferrer,Finca Altamira Malbec 2013,NA,4.4,721,Argentina,Paraje Altamira,https://www.vivino.com/achaval-ferrer-finca-altamira-malbec/w/1176258?year=2013&price_id=14915127,2013
504,Caballo Loco,Grand Cru Limarí 2014,NA,4.4,717,Chile,Limarí Valley,https://www.vivino.com/caballo-loco-grand-cru-limari/w/3026602?year=2014&price_id=16592243,2014
505,Concha y Toro,Gravas del Maipo Syrah 2010,NA,4.4,709,Chile,Limarí Valley,https://www.vivino.com/concha-y-toro-gravas-del-maipo-syrah/w/1251301?year=2010&price_id=7279102,2010
506,Angélica Zapata,Chardonnay Alta 2015,NA,4.4,706,Chile,Limarí Valley,https://www.vivino.com/angelica-zapata-chardonnay-alta/w/68864?year=2015&price_id=16909074,2015
507,Salentein,Primus Malbec 2014,NA,4.4,704,Chile,Limarí Valley,https://www.vivino.com/salentein-primus-malbec/w/9998?year=2014&price_id=17734373,2014
508,Pizzato,DNA 99 Single Vineyard Merlot 2012,NA,4.4,688,Brazil,Vale dos Vinhedos,https://www.vivino.com/pizzato-dna-99-single-vineyard-merlot/w/1663386?year=2012&price_id=14162676,2012
509,Concha y Toro,Gravas del Maipo Syrah 2008,NA,4.4,680,Brazil,Vale dos Vinhedos,https://www.vivino.com/concha-y-toro-gravas-del-maipo-syrah/w/1251301?year=2008&price_id=2210709,2008
510,Château Palmer,Margaux (Grand Cru Classé) 2002,NA,4.4,657,Brazil,Vale dos Vinhedos,https://www.vivino.com/chateau-palmer-margaux-grand-cru-classe/w/9220?year=2002&price_id=595449,2002
511,Château Margaux,Pavillon Rouge du Château Margaux 2009,NA,4.4,641,Brazil,Vale dos Vinhedos,https://www.vivino.com/chateau-margaux-pavillon-rouge-du-chateau-margaux/w/6020?year=2009&price_id=8146694,2009
512,Quinta do Vesuvio,Douro 2012,NA,4.4,638,Brazil,Vale dos Vinhedos,https://www.vivino.com/quinta-do-vesuvio-douro/w/1222575?year=2012&price_id=10013813,2012
513,Vistalba,Corte A 2015,NA,4.4,631,Brazil,Vale dos Vinhedos,https://www.vivino.com/vistalba-corte-a/w/84726?year=2015&price_id=16521577,2015
514,Casa Silva,Microterroir de Los Lingues Carmenère 2009,NA,4.4,618,Chile,Colchagua Valley,https://www.vivino.com/casa-silva-microterroir-de-los-lingues-carmenere/w/1174627?year=2009&price_id=16453848,2009
